mosquito_species;male;fem_unfed;fem_fed;fem_gravid;total;collection_date;remarks;source
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;1;0;0;1;7/2/24;;
Culex;0;2;0;0;2;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;2;0;0;0;2;7/2/24;;
Culex;1;6;0;0;7;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;0;0;0;0;7/2/24;;
Culex;0;0;0;0;0;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;0;0;0;0;7/2/24;;
Culex;6;10;0;0;16;7/2/24;;
Others;0;1;0;0;1;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;0;0;0;0;7/2/24;;
Culex;3;9;1;0;13;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;0;0;0;0;0;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;0;6;0;0;6;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;0;12;0;0;12;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;2;6;0;0;8;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;2;4;0;0;6;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;24/1/24;;
Aedes Aegypti;0;0;0;0;0;24/1/24;;
Culex;81;46;0;0;127;24/1/24;;
Others;0;0;0;0;0;24/1/24;;
Aedes Albopictus;0;0;0;0;0;24/1/24;;
Aedes Aegypti;0;0;0;0;0;24/1/24;;
Culex;8;11;0;0;19;24/1/24;;
Others;0;0;0;0;0;24/1/24;;
Aedes Albopictus;0;0;0;0;0;24/1/24;;
Aedes Aegypti;0;0;0;0;0;24/1/24;;
Culex;29;14;0;0;43;24/1/24;;
Others;0;0;0;0;0;24/1/24;;
Aedes Albopictus;0;0;0;0;0;24/1/24;;
Aedes Aegypti;0;0;0;0;0;24/1/24;;
Culex;6;4;0;0;10;24/1/24;;
Others;0;0;0;0;0;24/1/24;;
Aedes Albopictus;0;0;0;0;0;24/1/24;;
Aedes Aegypti;0;0;0;0;0;24/1/24;;
Culex;26;19;0;0;45;24/1/24;;
Others;0;0;0;0;0;24/1/24;;
Aedes Albopictus;0;0;0;0;0;25/1/24;;
Aedes Aegypti;0;0;0;0;0;25/1/24;;
Culex;60;26;0;0;86;25/1/24;;
Others;0;0;0;0;0;25/1/24;;
Aedes Albopictus;0;0;0;0;0;25/1/24;;
Aedes Aegypti;0;0;0;0;0;25/1/24;;
